mutant serotonin control 0.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,52,i,,52,3.216638646,50,53,5,-1,8,,,15063,-1105.363823,15,14705,80.03744507,22,0,0,0,14695,3.450973749,4,6,174.1432156,0,0,,,14729,58.3443409,14718,14749,33,1,7,,,52,3.216638646,50,53,5,-1,8,,,,unclassified,,0.5,0.5,0.5,1
,,3124,i,,3124,0.719091316,3124,3124,2,,8,,,25452,-479.1893231,12,25094,3.965717554,5,0,0,0,0,0,0,2,26.16828731,12,155.9246673,,,14779,24.35055735,14766,14784,20,1,7,,,3124,0.719091316,3124,3124,2,,8,,,,pump,,0,0,1,2
,,3131,i,,3131,6.531686811,3128,3134,8,-1,8,,,57906,-1078.86885,14,57659,11.71333504,10,0,0,0,0,0,0,5,96.59047543,19,147.4832177,,,14836,38.48560642,14833,14842,11,-1,7,,,3131,6.531686811,3128,3134,8,-1,8,,,,R,R,0,1,0,3
,,5920,i,,5920,6.727056589,5917,5921,6,-1,8,,,79899,-896.3001995,12,79545,43.99969101,15,0,0,0,0,0,0,5,46.08089709,27,193.1370672,,,14868,0.923439026,14868,14868,2,,7,,,5920,6.727056589,5917,5921,6,-1,8,,,,E,E,1,0,0,4
,,5926,i,,5926,4.003288594,5924,5928,6,-1,8,,,80368,-623.5211322,14,80106,118.2970276,9,0,0,0,0,0,0,6,118.8365533,0,0,,,14917,35.29886767,14911,14925,16,-1,7,,,5926,4.003288594,5924,5928,6,-1,8,,,,r2,r,1,1,0,5
,,6934,i,,6934,12.51741036,6925,6938,15,1,8,,,80948,-142.8070945,11,80731,-6.629321575,7,80965,-18.03266716,15,0,0,0,0,0,0,0,,,14952,7.196363318,14951,14953,4,-1,7,,,6934,12.51741036,6925,6938,15,1,8,,,,e1,e,1,0,1,6
,,6940,i,,6940,0.719091316,6940,6940,2,,8,,,94198,-442.6743506,13,93815,50.26303864,15,0,0,0,0,0,0,4,63.73761893,27,200.1638729,,,14973,10.4674799,14972,14974,4,-1,7,,,6940,0.719091316,6940,6940,2,,8,,,,IPSP,P,0,1,1,7
,,6996,i,,6996,14.66597504,6989,7003,16,1,8,,,120043,-957.0618957,12,119647,70.06648254,8,0,0,0,0,0,0,1,7.845865393,4,33.08221485,,,25087,16.84843465,25084,25091,9,-1,7,,,6996,14.66597504,6989,7003,16,1,8,,,,EPSP,i,1,0.8,0,8
,,7371,i,,7371,0.923439026,7371,7371,2,,8,,,139071,-1081.7834,12,138706,112.5195923,14,0,0,0,0,0,0,5,62.10648829,27,178.2671298,,,25119,13.96901861,25117,25127,12,-1,7,,,7371,0.923439026,7371,7371,2,,8,,,,,,,,,
,,7659,i,,7659,4.34448038,7657,7661,6,1,8,,,161803,-1053.296215,12,161383,100.3934631,9,0,0,0,0,0,0,3,44.4933492,21,167.4363463,,,25156,12.1992687,25150,25160,12,-1,7,,,7659,4.34448038,7657,7661,6,1,8,,,,,,,,,
,,7702,i,,7702,9.368330346,7694,7703,11,-1,8,,,170665,-1382.751833,13,170175,110.4440689,14,0,0,0,170144,19.62390518,21,5,101.1269628,10,67.0020933,,,25366,2.390834456,25366,25367,3,,7,,,7702,9.368330346,7694,7703,11,-1,8,,,,,,,,,
,,8947,i,,8947,2.088851911,8947,8949,4,,8,,,171255,-749.5940549,12,170863,187.9610291,14,0,0,0,0,0,0,10,130.5427515,0,0,,,57605,8.996234533,57605,57606,3,,7,,,8947,2.088851911,8947,8949,4,,8,,,,,,,,,
,,11936,i,,11936,4.47142812,11935,11937,4,1,8,,,,,,,,,,,,,,,,,,,,,57639,62.07439968,57634,57648,16,-1,7,,,11936,4.47142812,11935,11937,4,1,8,,,,,,,,,
,,14639,e,,14639,6.288129861,14637,14642,7,1,6,,,,,,,,,,,,,,,,,,,,,57689,32.60323138,57681,57694,15,-1,7,,,15246,28.5045114,15242,15260,20,-1,8,,,,,,,,,
,,14663,e,,14663,1.263767405,14663,14663,2,,6,,,,,,,,,,,,,,,,,,,,,57736,17.42814061,57734,57740,8,-1,7,,,15408,12.8658899,15404,15419,17,-1,8,,,,,,,,,
,,14695,e,,14695,3.450973836,14694,14696,4,1,6,,,,,,,,,,,,,,,,,,,,,57782,0.719091316,57782,57782,2,,7,,,15421,0.923439026,15421,15421,2,,8,,,,,,,,,
,,14705,E,,14705,80.03744645,14697,14717,22,1,4,,,,,,,,,,,,,,,,,,,,,57791,4.539957247,57790,57792,4,-1,7,,,15460,4.547964683,15458,15462,6,-1,8,,,,,,,,,
,,14729,P,,14729,58.3443409,14718,14749,33,1,7,,,,,,,,,,,,,,,,,,,,,57797,6.493252254,57795,57800,7,1,7,,,15467,21.28730037,15464,15482,20,-1,8,,,,,,,,,
,,14779,P,,14779,24.35055735,14766,14784,20,1,7,,,,,,,,,,,,,,,,,,,,,57804,1.642530342,57804,57805,3,,7,,,16015,5.735195525,16013,16016,5,-1,8,,,,,,,,,
,,14836,P,,14836,38.48560642,14833,14842,11,-1,7,,,,,,,,,,,,,,,,,,,,,57834,3.101667526,57834,57834,2,,7,,,16591,14.72536415,16581,16593,14,-1,8,,,,,,,,,
,,14843,R,,14843,3.480330357,14843,14844,3,,3,,,,,,,,,,,,,,,,,,,,,57842,35.52589394,57839,57848,11,1,7,,,17950,1.263767405,17950,17950,2,,8,,,,,,,,,
,,14868,P,,14868,0.923439026,14868,14868,2,,7,,,,,,,,,,,,,,,,,,,,,79668,4.955427928,79668,79672,6,,7,,,18641,17.04941465,18639,18653,16,1,8,,,,,,,,,
,,14917,P,,14917,35.29886767,14911,14925,16,-1,7,,,,,,,,,,,,,,,,,,,,,79696,2.088851911,79695,79697,4,-1,7,,,19096,1.846878051,19096,19097,3,,8,,,,,,,,,
,,14952,P,,14952,7.196363318,14951,14953,4,-1,7,,,,,,,,,,,,,,,,,,,,,79733,7.718305058,79732,79737,7,-1,7,,,19106,6.327284102,19103,19109,8,-1,8,,,,,,,,,
,,14973,P,,14973,10.4674799,14972,14974,4,-1,7,,,,,,,,,,,,,,,,,,,,,79791,10.29803084,79789,79792,5,1,7,,,19185,20.1886717,19180,19196,18,-1,8,,,,,,,,,
,,15063,R,,15063,1105.363823,15054,15067,15,-1,3,,,,,,,,,,,,,,,,,,,,,79818,8.730662918,79817,79820,5,-1,7,,,19211,3.178347811,19210,19212,4,-1,8,,,,,,,,,
,,15246,i,,15246,28.5045114,15242,15260,20,-1,8,,,,,,,,,,,,,,,,,,,,,79841,17.24504636,79838,79850,14,-1,7,,,19217,4.92672762,19214,19219,7,1,8,,,,,,,,,
,,15408,i,,15408,12.8658899,15404,15419,17,-1,8,,,,,,,,,,,,,,,,,,,,,80175,25.61479661,80171,80181,12,-1,7,,,19317,1.642530342,19317,19318,3,,8,,,,,,,,,
,,15421,i,,15421,0.923439026,15421,15421,2,,8,,,,,,,,,,,,,,,,,,,,,80206,13.92396501,80204,80211,9,-1,7,,,19632,0.923439026,19632,19632,2,,8,,,,,,,,,
,,15460,i,,15460,4.547964683,15458,15462,6,-1,8,,,,,,,,,,,,,,,,,,,,,80227,36.0976186,80224,80233,11,-1,7,,,20290,0.650669278,20290,20290,2,,8,,,,,,,,,
,,15467,i,,15467,21.28730037,15464,15482,20,-1,8,,,,,,,,,,,,,,,,,,,,,80276,24.80607964,80272,80284,14,-1,7,,,22591,16.58799539,22587,22605,20,1,8,,,,,,,,,
,,16015,i,,16015,5.735195525,16013,16016,5,-1,8,,,,,,,,,,,,,,,,,,,,,80323,9.565183109,80317,80324,9,-1,7,,,25707,16.66207944,25701,25712,13,-1,8,,,,,,,,,
,,16591,i,,16591,14.72536415,16581,16593,14,-1,8,,,,,,,,,,,,,,,,,,,,,80336,8.82891035,80335,80337,4,-1,7,,,28306,8.483694645,28302,28311,11,1,8,,,,,,,,,
,,17950,i,,17950,1.263767405,17950,17950,2,,8,,,,,,,,,,,,,,,,,,,,,80473,21.25660036,80472,80474,4,-1,7,,,28374,4.34448038,28372,28376,6,1,8,,,,,,,,,
,,18641,i,,18641,17.04941465,18639,18653,16,1,8,,,,,,,,,,,,,,,,,,,,,93951,4.850810635,93949,93952,5,1,7,,,28810,10.65416652,28805,28812,9,-1,8,,,,,,,,,
,,19096,i,,19096,1.846878051,19096,19097,3,,8,,,,,,,,,,,,,,,,,,,,,93974,7.10520693,93971,93976,7,1,7,,,28819,5.130211923,28816,28821,7,1,8,,,,,,,,,
