mutant serotonin control 9.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,525,E,,525,3.731002659,525,526,3,,4,,,1051,-421.3761204,12,783,73.16750336,28,0,0,0,767,-32.21392059,7,2,69.9441606,0,0,,,825,19.95704657,823,828,7,-1,7,,,2306,7.078957026,2304,2307,5,-1,8,,,,unclassified,,0.5,0.5,0.5,1
,,530,E,,530,4.855312194,528,531,5,-1,4,,,2960,-496.138672,17,2684,3.056807041,4,0,0,0,0,0,0,0,0,1,7.078957026,,,830,3.102060884,830,830,2,,7,,,2310,1.53003188,2310,2310,2,,8,,,,pump,,0,0,1,2
,,767,e,,767,32.21392235,764,769,7,-1,6,,,3844,-374.3928028,12,3586,76.17441559,19,0,0,0,3561,37.85713196,25,1,24.1546206,0,0,,,863,49.98711403,860,867,9,-1,7,,,4415,7.91540171,4411,4416,7,1,8,,,,R,R,0,1,0,3
,,783,E,,783,73.16750223,770,796,28,1,4,,,4302,-348.6163176,11,4061,83.72913361,25,0,0,0,4033,32.14711761,29,2,44.70387587,0,0,,,2655,59.9574249,2655,2656,3,,7,,,4491,1.08919327,4491,4491,2,,8,,,,E,E,1,0,0,4
,,798,E,,798,0.955050154,798,798,2,,4,,,5136,-407.561412,15,4897,68.85486603,22,0,0,0,4880,25.19959068,20,1,27.2375809,4,24.97286867,,,2698,2.044243424,2698,2699,3,,7,,,4494,4.011857279,4493,4496,5,-1,8,,,,r2,r,1,1,0,5
,,805,E,,805,2.159273175,805,806,3,,4,,,6113,-218.458907,13,5860,45.93971252,9,0,0,0,5849,27.73383331,14,6,105.1794401,0,0,,,3623,24.1546206,3621,3627,8,-1,7,,,4523,8.972970954,4520,4524,6,1,8,,,,e1,e,1,0,1,6
,,825,P,,825,19.95704657,823,828,7,-1,7,,,6913,-454.7832781,12,6677,37.25627518,11,7232,-7.800346375,7,0,0,0,1,15.33513207,0,0,,,4134,31.50783825,4127,4140,15,-1,7,,,4653,4.072638727,4652,4654,4,1,8,,,,IPSP,P,0,1,1,7
,,829,R,,829,4.233368043,829,829,2,,3,,,8308,-379.7819995,17,8046,53.04435349,16,0,0,0,0,0,0,2,25.56189794,4,33.7691873,,,4171,13.19603762,4169,4177,10,-1,7,,,7557,2.20097078,7557,7557,2,,8,,,,EPSP,i,1,0.8,0,8
,,830,P,,830,3.102060884,830,830,2,,7,,,8708,-399.1685047,15,8479,70.03292847,12,8733,-7.471264362,8,8469,31.28915405,9,1,7.500502047,0,0,,,4948,27.2375809,4945,4952,9,-1,7,,,7559,1.833470738,7559,7560,3,,8,,,,,,,,,
,,863,P,,863,49.98711403,860,867,9,-1,7,,,8955,-46.29201582,5,8873,53.30362701,12,0,0,0,8863,29.27519608,7,1,4.545362061,0,0,,,5871,0.955050154,5871,5871,2,,7,,,7666,16.55232514,7661,7674,15,-1,8,,,,,,,,,
,,1051,R,,1051,421.3761204,1046,1056,12,-1,3,,,8999,3.440125765,4,0,0,0,0,0,0,0,0,0,19,350.4662285,0,0,,,5908,12.45506175,5904,5910,8,-1,7,,,7786,2.922664009,7785,7787,4,-1,8,,,,,,,,,
,,2306,i,,2306,7.078957026,2304,2307,5,-1,8,,,9012,-438.2469718,17,0,0,0,0,0,0,0,0,0,19,350.4662285,0,0,,,5949,45.34118651,5938,5952,16,-1,7,,,7847,7.889736527,7843,7850,9,-1,8,,,,,,,,,
,,2309,E,,2309,1.836735982,2309,2309,2,,4,,,10005,-362.7513622,14,9761,80.78895569,22,0,0,0,9747,26.97910881,21,3,37.21927792,0,0,,,5982,16.56849623,5976,5990,16,-1,7,,,7872,6.404461622,7869,7873,6,-1,8,,,,,,,,,
,,2310,i,,2310,1.53003188,2310,2310,2,,8,,,10739,-328.8794533,11,10521,46.95624924,12,0,0,0,0,0,0,1,41.22668296,0,0,,,6009,13.67772821,6001,6014,15,1,7,,,21459,2.235902744,21459,21460,3,,8,,,,,,,,,
,,2314,E,,2314,9.583152075,2311,2316,7,-1,4,,,11302,-324.1246652,11,11057,85.4133606,16,0,0,0,11040,25.95512581,18,1,25.39549079,0,0,,,6035,9.266344183,6031,6039,10,1,7,,,78362,11.4483731,78361,78370,11,-1,8,,,,,,,,,
,,2506,R,,2506,1.836735982,2506,2506,2,,3,,,12322,-377.9253842,12,12108,75.20672607,17,12594,8.698126793,8,12099,59.86747742,10,0,0,0,0,,,6050,7.870623161,6045,6052,9,-1,7,,,88522,2.140155627,88522,88523,3,,8,,,,,,,,,
,,2653,e,,2653,0.878420585,2653,2653,2,,6,,,13028,-354.7791754,11,12801,49.16012573,12,0,0,0,12792,27.85171509,6,1,16.37431269,0,0,,,6683,1.08919327,6683,6683,2,,7,,,97276,0.859303036,97276,97276,2,,8,,,,,,,,,
,,2655,P,,2655,59.9574249,2655,2656,3,,7,,,13420,-410.3099377,11,13218,51.82849121,12,13426,4.376058578,5,13208,31.01676559,8,2,52.37406496,0,0,,,6738,15.33513207,6735,6740,7,-1,7,,,97278,2.235902744,97278,97279,3,,8,,,,,,,,,
,,2665,E,,2665,129.410185,2657,2680,25,1,4,,,14252,-437.9370894,13,14036,86.69768524,25,0,0,0,13993,25.23677444,15,0,0,0,0,,,8111,15.9886482,8106,8116,12,-1,7,,,98807,4.548608091,98806,98809,5,-1,8,,,,,,,,,
,,2684,E,,2684,3.056807125,2683,2685,4,1,4,,,14730,-354.8647354,9,14493,137.824585,40,14979,,4,0,0,0,1,19.2542451,0,0,,,8141,9.573249732,8135,8143,10,1,7,,,99808,0.859303036,99808,99808,2,,8,,,,,,,,,
,,2687,E,,2687,1.08919327,2687,2687,2,,4,,,15410,-359.7013383,13,15202,66.68430328,15,0,0,0,15184,-26.11131287,17,0,0,0,0,,,8581,2.370045861,8581,8582,3,,7,,,99810,1.81435319,99810,99811,3,,8,,,,,,,,,
,,2698,P,,2698,2.044243424,2698,2699,3,,7,,,15841,-329.5413202,12,15634,68.30186462,16,0,0,0,15617,-45.98036194,26,2,14.63293774,0,0,,,8590,7.500502047,8589,8592,5,1,7,,,99814,2.673656227,99813,99815,4,1,8,,,,,,,,,
,,2960,R,,2960,496.138672,2952,2967,17,-1,3,,,16631,-403.7070073,11,16429,69.46440125,19,0,0,0,0,0,0,0,0,0,0,,,8946,4.545362061,8945,8949,6,-1,7,,,101414,6.76522178,101411,101416,7,1,8,,,,,,,,,
,,3005,r,,3005,1.737723621,3005,3006,3,,5,,,17061,-339.9091883,11,16856,102.0736084,41,0,0,0,0,0,0,2,49.05389694,0,0,,,8953,2.622743144,8953,8953,2,,7,,,104505,5.826214652,104503,104508,7,-1,8,,,,,,,,,
,,3379,R,,3379,3.638932685,3379,3379,2,,3,,,17462,-278.1897604,12,17359,-3.478528261,4,0,0,0,0,0,0,0,0,0,0,,,8959,10.68860355,8958,8960,4,1,7,,,105118,4.832929402,105117,105121,6,1,8,,,,,,,,,
