mutant serotonin 005 H2O2 2.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,40,i,,40,26.6842826,28,55,29,1,8,,,566,-380.2844062,14,299,245.2115326,54,576,-4.293429375,8,284,-26.60226059,11,1,34.37419512,0,0,,,343,34.37419512,342,350,10,-1,7,,,40,26.6842826,28,55,29,1,8,,,,unclassified,,0.5,0.5,0.5,1
,,284,e,,284,26.60226137,279,288,11,-1,6,,,1866,-498.1677977,14,1609,122.5561295,8,1882,-15.83825874,16,0,0,0,6,59.06638503,7,77.822524,,,458,1.536424003,458,459,3,,7,,,865,15.06511822,863,872,11,-1,8,,,,pump,,0,0,1,2
,,299,E,,299,245.2115341,289,341,54,1,4,,,2292,-24.46471348,5,0,0,0,0,0,0,0,0,0,8,115.0481704,0,0,,,1599,21.60759024,1596,1602,8,1,7,,,958,3.134128932,956,959,5,-1,8,,,,R,R,0,1,0,3
,,343,P,,343,34.37419512,342,350,10,-1,7,,,2594,-528.04588,11,2297,81.88129425,12,2633,-7.279329777,8,2272,10.74326611,14,0,0,0,0,,,1636,27.96795577,1632,1641,11,-1,7,,,973,1.731968293,972,974,4,1,8,,,,E,E,1,0,0,4
,,372,E,,372,1.974828349,372,372,2,,4,,,3334,-635.9286234,10,3104,160.8397522,17,0,0,0,3086,22.40293884,18,1,44.56421129,1,15.13317226,,,1686,15.11736239,1682,1692,12,-1,7,,,983,10.10931787,976,988,14,-1,8,,,,r2,r,1,1,0,5
,,458,P,,458,1.536424003,458,459,3,,7,,,5757,-461.8807128,12,5486,327.2625732,209,5784,4.623237133,10,0,0,0,0,0,5,30.01395583,,,1725,1.974828349,1725,1725,2,,7,,,1075,0.768212001,1075,1075,2,,8,,,,e1,e,1,0,1,6
,,566,R,,566,380.2844062,561,573,14,-1,3,,,8985,-1040.760749,11,8879,271.6470642,24,0,0,0,8865,-1.731968284,4,1,98.57607227,5,63.1552335,,,1733,3.134128932,1732,1735,5,1,7,,,1149,0.391088581,1149,1150,3,,8,,,,IPSP,P,0,1,1,7
,,576,r,,576,4.293429514,574,580,8,-1,5,,,9328,-685.5988927,12,9150,64.33435822,18,9355,2.365916967,4,9141,6.449837208,7,2,37.81804389,0,0,,,1770,1.745933453,1769,1774,7,-1,7,,,1244,15.29536595,1239,1252,15,1,8,,,,EPSP,i,1,0.8,0,8
,,582,r,,582,0.963756292,582,583,3,,5,,,9511,-9.64709156,4,0,0,0,0,0,0,0,0,0,12,296.0064978,0,0,,,1790,5.992047201,1785,1800,17,-1,7,,,1306,0.19554429,1306,1306,2,,8,,,,,,,,,
,,585,r,,585,0.768212001,585,585,2,,5,,,10998,-1014.581309,16,10904,215.3528595,21,0,0,0,10877,-3.511252403,4,2,134.4116646,4,33.71397936,,,1858,5.108957281,1855,1859,6,1,7,,,1379,20.96118107,1374,1396,24,1,8,,,,,,,,,
,,610,r,,610,2.938584641,609,611,4,1,5,,,11339,-750.1996949,12,11245,42.90921021,17,11402,-4.064534664,13,11237,-5.372555733,4,1,12.45634124,0,0,,,3151,44.56421129,3148,3156,10,-1,7,,,1451,11.52544367,1440,1456,18,-1,8,,,,,,,,,
,,865,i,,865,15.06511822,863,872,11,-1,8,,,12410,-372.3326954,11,12337,111.5538177,12,0,0,0,12330,47.0666275,12,3,17.44221081,0,0,,,8920,98.57607227,8917,8927,12,-1,7,,,2773,15.13317226,2770,2776,8,-1,8,,,,,,,,,
,,958,i,,958,3.134128932,956,959,5,-1,8,,,12762,-612.9600101,11,12521,43.36212921,14,12777,1.927512527,5,0,0,0,2,19.24502265,0,0,,,9195,17.42331725,9189,9197,10,-1,7,,,3529,10.35337218,3529,3530,3,,8,,,,,,,,,
,,973,i,,973,1.731968293,972,974,4,1,8,,,13229,-549.4037417,11,13128,116.4657364,15,13249,-4.995432377,5,13119,-5.924485207,4,3,51.98244083,2,11.6123573,,,9318,20.39472664,9314,9321,9,-1,7,,,4165,5.372555608,4164,4166,4,1,8,,,,,,,,,
,,983,i,,983,10.10931787,976,988,14,-1,8,,,13516,-590.6694705,6,13358,62.95767212,17,13542,5.681624889,6,0,0,0,0,0,0,0,,,10940,104.026724,10936,10951,17,-1,7,,,4178,5.964116881,4172,4181,11,1,8,,,,,,,,,
,,1075,i,,1075,0.768212001,1075,1075,2,,8,,,15169,-796.2219484,15,15083,201.9497681,15,0,0,0,15068,30.51985359,18,3,117.0382555,3,44.76947881,,,10987,30.38494056,10976,10989,15,-1,7,,,4251,13.42009753,4247,4257,12,1,8,,,,,,,,,
,,1149,i,,1149,0.391088581,1149,1150,3,,8,,,15523,-882.7237707,13,15356,84.63894653,19,0,0,0,15345,-8.377349854,11,1,8.115595959,0,0,,,11323,12.45634124,11318,11326,10,-1,7,,,4837,1.354844872,4835,4838,5,-1,8,,,,,,,,,
,,1244,i,,1244,15.29536595,1239,1252,15,1,8,,,16350,-674.0557996,9,16260,199.776001,10,16355,4.717868805,4,16252,52.28852463,16,1,110.1698382,0,0,,,12366,3.511252352,12365,12367,4,-1,7,,,5322,1.974828349,5322,5322,2,,8,,,,,,,,,
,,1306,i,,1306,0.19554429,1306,1306,2,,8,,,17753,-605.6298253,12,17652,134.6045532,22,0,0,0,17635,21.90604401,19,2,110.1528931,1,1.159300582,,,12380,1.927512584,12379,12382,5,1,7,,,5329,3.902340933,5327,5331,6,1,8,,,,,,,,,
,,1379,i,,1379,20.96118107,1374,1396,24,1,8,,,18101,-788.8487336,9,18057,3.511252403,4,18107,6.120029449,5,0,0,0,0,0,0,0,,,12394,12.00344588,12391,12399,10,1,7,,,6022,15.44224165,6019,6027,10,-1,8,,,,,,,,,
,,1451,i,,1451,11.52544367,1440,1456,18,-1,8,,,19259,-986.0369721,10,19126,258.9220581,9,19274,7.218049049,8,0,0,0,1,33.19591034,0,0,,,12552,17.31751006,12548,12559,13,-1,7,,,6545,23.64918775,6536,6559,25,1,8,,,,,,,,,
,,1599,P,,1599,21.60759024,1596,1602,8,1,7,,,19907,-392.1550044,11,19855,21.14407921,17,0,0,0,0,0,0,1,15.50976983,2,11.03344233,,,12745,1.927512584,12744,12747,5,-1,7,,,7647,12.99565834,7642,7656,16,1,8,,,,,,,,,
,,1605,R,,1605,3.836131605,1605,1605,2,,3,,,20612,-777.2645688,12,20525,234.1055298,14,20622,-3.706796646,5,20510,-32.57965851,8,2,46.95855247,1,19.90395353,,,13156,31.88413727,13153,13166,15,-1,7,,,7820,3.836131605,7820,7820,2,,8,,,,,,,,,
,,1606,E,,1606,13.49123322,1606,1606,2,,4,,,21054,-616.1597584,13,20981,25.71996689,15,0,0,0,20973,-31.2355957,7,1,50.2576592,0,0,,,13202,8.539509289,13201,13203,4,1,7,,,8373,4.995432188,8372,8375,5,1,8,,,,,,,,,
,,1607,E,,1607,69.89529222,1607,1607,2,,3,,,21677,-703.6699916,11,21573,164.4069214,17,21683,3.902340889,6,0,0,0,1,93.97584849,1,10.48151289,,,13213,11.55879427,13206,13216,12,-1,7,,,8554,6.072713573,8552,8558,8,1,8,,,,,,,,,
,,1609,E,,1609,122.5561326,1608,1614,8,1,4,,,23191,-420.6009995,13,22950,70.07479858,5,23203,-5.695590019,9,0,0,0,2,33.77243477,1,6.011432647,,,15091,4.34074528,15089,15092,5,1,7,,,8560,0.768212001,8560,8560,2,,8,,,,,,,,,
,,1636,P,,1636,27.96795577,1632,1641,11,-1,7,,,23644,-693.7500345,8,23555,97.67376709,16,23666,8.129561424,9,23532,20.20877838,19,1,33.4387704,0,0,,,15118,95.50256204,15116,15130,16,-1,7,,,8562,0.768212001,8562,8562,2,,8,,,,,,,,,
,,1686,P,,1686,15.11736239,1682,1692,12,-1,7,,,24228,-615.2840276,13,24202,-2.318601131,7,0,0,0,0,0,0,1,20.16011035,1,11.99719862,,,15160,17.19494821,15152,15163,13,-1,7,,,9797,11.24972489,9790,9798,10,1,8,,,,,,,,,
,,1725,P,,1725,1.974828349,1725,1725,2,,7,,,24651,-540.3078408,9,24591,49.11115646,14,24667,-6.793609619,12,24584,-5.681624889,6,1,15.63778594,0,0,,,15430,3.949656699,15430,15431,3,,7,,,10279,2.304636004,10278,10280,4,1,8,,,,,,,,,
,,1733,P,,1733,3.134128932,1732,1735,5,1,7,,,25843,-454.8145112,8,25665,54.33766937,72,25853,-11.32989979,17,0,0,0,0,0,1,3.902340933,,,15514,8.115595959,15511,15515,6,1,7,,,10293,8.209735607,10288,10302,16,1,8,,,,,,,,,
,,1770,P,,1770,1.745933453,1769,1774,7,-1,7,,,26464,-817.2476777,13,26224,190.3114014,15,26624,-15.02273083,18,26211,-41.31536484,14,3,81.28695971,1,6.006504245,,,16266,0.19554429,16266,16266,2,,7,,,10373,0.19554429,10373,10373,2,,8,,,,,,,,,
,,1790,P,,1790,5.992047201,1785,1800,17,-1,7,,,27247,-819.6340663,14,27016,275.2077637,16,0,0,0,27003,32.83700943,7,1,68.19286338,0,0,,,16296,110.1698382,16293,16304,13,-1,7,,,10444,11.94988286,10434,10446,14,1,8,,,,,,,,,
,,1858,P,,1858,5.108957281,1855,1859,6,1,7,,,27937,-794.2834586,15,27698,230.3985443,24,28412,2.938584566,4,27680,24.05420685,16,3,99.62830198,0,0,,,17688,98.26921953,17686,17698,14,-1,7,,,12903,3.836131605,12903,12903,2,,8,,,,,,,,,
,,1866,R,,1866,498.1677977,1860,1872,14,-1,3,,,28579,-893.8624248,8,28362,282.8696289,20,0,0,0,0,0,0,0,0,0,0,,,17744,11.88367353,17738,17746,10,-1,7,,,12906,7.905560652,12905,12907,4,-1,8,,,,,,,,,
,,1882,r,,1882,15.83825863,1873,1887,16,-1,5,,,30176,10.54891647,4,0,0,0,0,0,0,0,0,0,54,1589.027653,0,0,,,19117,28.90997902,19115,19120,7,1,7,,,12911,3.706796643,12910,12913,5,1,8,,,,,,,,,
,,2272,e,,2272,10.74326651,2264,2276,14,1,6,,,30181,-142.6391085,4,0,0,0,0,0,0,0,0,0,54,1589.027653,0,0,,,19172,33.19591034,19167,19175,10,-1,7,,,13649,18.18660085,13647,13652,7,-1,8,,,,,,,,,
,,2292,E,,2292,24.46471348,2291,2294,5,-1,3,,,30224,-143.8074182,5,30184,103.5104599,9,0,0,0,30172,-58.59981155,6,0,0,0,0,,,19892,15.50976983,19889,19896,9,-1,7,,,13655,0.768212001,13655,13655,2,,8,,,,,,,,,
,,2297,E,,2297,81.88129338,2295,2305,12,1,4,,,30237,-741.7394086,9,0,0,0,0,0,0,0,0,0,55,1616.622661,0,0,,,19898,1.974828349,19898,19898,2,,7,,,14506,15.82564629,14501,14521,22,1,8,,,,,,,,,
,,2588,E,,2588,0.19554429,2588,2588,2,,4,,,30244,7.656453342,7,0,0,0,0,0,0,0,0,0,55,1616.622661,0,0,,,20552,13.49123322,20552,20552,2,,7,,,14548,10.75723167,14540,14555,17,-1,8,,,,,,,,,
,,2594,R,,2594,528.04588,2589,2598,11,-1,3,,,30545,-678.6017942,13,30358,90.24306488,14,30571,9.779510498,12,0,0,0,2,61.43109193,0,0,,,20559,29.78434253,20555,20562,9,1,7,,,14671,4.604343607,14671,14672,3,,8,,,,,,,,,
,,2628,r,,2628,0.768212001,2628,2628,2,,5,,,30816,-573.2791699,12,30739,167.365036,14,30836,-4.670552731,7,30724,18.87282753,22,1,33.80152741,0,0,,,20598,17.17420994,20591,20602,13,-1,7,,,17416,1.159300582,17415,17417,4,-1,8,,,,,,,,,
,,2633,r,,2633,7.279329921,2630,2636,8,-1,5,,,31346,-586.8001077,11,31104,166.5771484,19,0,0,0,31088,-35.6299057,7,2,25.33527695,0,0,,,21035,50.2576592,21033,21037,6,1,7,,,19533,2.743040351,19533,19534,3,,8,,,,,,,,,
,,2773,i,,2773,15.13317226,2770,2776,8,-1,8,,,32610,-745.6077791,14,32355,210.4466095,16,0,0,0,32343,-34.92548752,13,3,122.6837301,1,12.48916599,,,21041,1.974828349,21041,21041,2,,7,,,19539,5.108957281,19537,19541,6,1,8,,,,,,,,,
,,3086,e,,3086,22.40293957,3078,3094,18,1,6,,,33175,-797.0930761,9,33060,229.643158,26,0,0,0,0,0,0,2,52.43918414,0,0,,,21604,93.97584849,21600,21610,12,-1,7,,,19594,0.768212001,19594,19594,2,,8,,,,,,,,,
,,3104,E,,3104,160.8397449,3095,3110,17,1,4,,,33558,-722.8440008,11,33496,120.7676926,13,33757,-4.279464245,5,33485,-18.07175636,11,1,54.72839284,0,0,,,22878,15.87240223,22876,22881,7,1,7,,,19598,5.924485048,19597,19599,4,1,8,,,,,,,,,
,,3115,E,,3115,0.963756292,3115,3116,3,,4,,,33957,-859.354873,12,33866,202.5316925,11,33970,-1.731968284,4,33852,29.99450302,15,1,89.60298857,0,0,,,22907,25.539457,22906,22908,4,1,7,,,20078,19.90395353,20077,20080,5,-1,8,,,,,,,,,
,,3151,P,,3151,44.56421129,3148,3156,10,-1,7,,,34724,-659.8797126,14,34470,89.27622223,7,0,0,0,0,0,0,1,9.517756597,0,0,,,22954,32.04046647,22953,22957,6,-1,7,,,21399,10.48151289,21396,21403,9,1,8,,,,,,,,,
,,3334,R,,3334,635.9286234,3329,3337,10,-1,3,,,35495,-977.1629275,17,35265,277.5510864,12,0,0,0,35254,41.79417038,7,2,92.58039082,3,55.36756447,,,23104,1.731968293,23103,23105,4,-1,7,,,22611,6.011432647,22607,22613,8,1,8,,,,,,,,,
,,3367,r,,3367,1.974828349,3367,3367,2,,5,,,36449,-992.7448017,14,36206,352.8732605,21,37067,4.799888134,4,36188,21.60257149,14,1,70.6838163,0,0,,,23184,4.031675896,23184,23185,3,,7,,,22617,0.391088581,22617,22618,3,,8,,,,,,,,,
,,3529,i,,3529,10.35337218,3529,3530,3,,8,,,37315,-1036.289175,7,37224,297.1573181,15,37323,16.86329651,18,37208,48.8081398,18,1,105.1981163,1,10.51433764,,,23484,0.19554429,23484,23484,2,,7,,,24017,11.99719862,24016,24025,11,-1,8,,,,,,,,,
,,3531,E,,3531,3.836131605,3531,3531,2,,4,,,37720,-711.7378445,13,37640,43.0227356,18,0,0,0,37631,9.975054741,13,2,25.6189631,0,0,,,23587,33.4387704,23584,23590,8,-1,7,,,25366,3.902340933,25364,25368,6,1,8,,,,,,,,,
,,3532,r,,3532,4.604343607,3532,3533,3,,5,,,38431,-784.8733748,14,38175,153.4486542,16,0,0,0,38165,3.902340889,6,2,83.96712159,0,0,,,23613,0.391088581,23613,23614,3,,7,,,25379,5.810959955,25379,25380,3,,8,,,,,,,,,
,,4165,i,,4165,5.372555608,4164,4166,4,1,8,,,38670,-645.2115538,13,38601,150.397995,15,0,0,0,38585,-14.4973793,15,1,49.07128362,0,0,,,23964,3.072848006,23962,23965,5,1,7,,,26114,6.006504245,26113,26115,4,-1,8,,,,,,,,,
,,4178,i,,4178,5.964116881,4172,4181,11,1,8,,,38812,-337.7522139,15,38754,47.61379623,15,0,0,0,38742,1.731968284,4,1,45.92729993,0,0,,,24208,20.16011035,24206,24217,13,-1,7,,,27449,8.343964999,27449,27450,3,,8,,,,,,,,,
,,4251,i,,4251,13.42009753,4247,4257,12,1,8,,,39536,-964.5296073,12,39458,366.0671997,24,39547,-5.924485207,4,39427,-30.64109802,23,1,56.33040143,0,0,,,24635,15.63778594,24631,24640,11,-1,7,,,28766,11.75553282,28765,28767,4,-1,8,,,,,,,,,
,,4837,i,,4837,1.354844872,4835,4838,5,-1,8,,,39922,-796.5829233,15,39839,56.00892258,26,0,0,0,39824,-7.427558422,12,1,22.82245035,0,0,,,25600,39.82252267,25595,25607,14,-1,7,,,28769,3.836131605,28769,28769,2,,8,,,,,,,,,
,,5322,i,,5322,1.974828349,5322,5322,2,,8,,,40893,-667.1330466,13,40648,223.2823944,44,0,0,0,40632,11.67363834,8,1,22.54183715,0,0,,,25643,3.511252352,25643,25645,4,,7,,,29022,20.24705794,29018,29033,17,1,8,,,,,,,,,
,,5329,i,,5329,3.902340933,5327,5331,6,1,8,,,41528,-773.9934165,16,41440,253.3761292,12,0,0,0,41428,-41.57699203,15,1,42.25202347,0,0,,,25648,6.774716247,25647,25650,5,-1,7,,,29447,8.586859027,29446,29459,15,-1,8,,,,,,,,,
,,5364,E,,5364,2.17037264,5364,5365,3,,4,,,41957,-726.9791398,13,41753,117.8278122,12,42137,-14.04139996,4,41746,-32.44221115,7,2,46.33976324,0,0,,,26266,50.8146703,26262,26273,13,-1,7,,,30090,0.391088581,30090,30091,3,,8,,,,,,,,,
,,5371,E,,5371,0.768212001,5371,5371,2,,4,,,42140,-14.04139986,4,0,0,0,0,0,0,0,0,0,86,2739.423816,0,0,,,26303,0.768212001,26303,26303,2,,7,,,31483,12.48916599,31481,31485,6,1,8,,,,,,,,,
,,5394,E,,5394,0.768212001,5394,5394,2,,4,,,42839,-811.6392592,18,42602,332.5087891,16,0,0,0,42588,30.62845039,15,1,36.22024629,0,0,,,26312,16.60766488,26309,26315,8,-1,7,,,32159,0.19554429,32159,32159,2,,8,,,,,,,,,
,,5421,E,,5421,0.963756292,5421,5422,3,,4,,,43118,-723.1137334,11,43013,161.7055817,13,43127,1.731968284,4,43001,15.83333015,12,1,30.0988981,0,0,,,26317,0.768212001,26317,26317,2,,7,,,33747,0.19554429,33747,33747,2,,8,,,,,,,,,
