mutant serotonin control 4.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
,,2396,e,,2396,23.51724489,2391,2398,9,1,6,,,13156,-14.01656049,9,12988,9.641687393,10,0,0,0,0,0,0,0,0,0,0,,,7815,11.91065747,7805,7818,15,-1,7,,,19758,2.197569909,19758,19759,3,,8,,,,,,,,,
,,2405,E,,2405,46.15999094,2399,2407,10,1,4,,,14027,-37.37179284,13,13824,48.428936,21,0,0,0,13810,-19.25761414,5,2,22.13767506,0,0,,,8375,3.535455027,8373,8376,5,-1,7,,,19765,5.948102931,19762,19766,6,-1,8,,,,,,,,,
,,2408,P,,2408,6.487597531,2408,2409,3,,7,,,14311,-41.78275901,11,14151,31.18142891,16,0,0,0,0,0,0,1,10.14702695,0,0,,,8390,30.40947119,8388,8393,7,-1,7,,,22098,2.043854328,22098,22099,3,,8,,,,,,,,,
,,2411,E,,2411,7.105727265,2410,2414,6,-1,4,,,15642,-48.43357383,10,15434,71.32736969,24,0,0,0,15419,-22.81189537,11,1,16.01412267,2,8.997086265,,,8429,17.80815254,8420,8436,18,1,7,,,23068,2.419876352,23067,23069,4,-1,8,,,,,,,,,
,,2427,P,,2427,0.817825984,2427,2427,2,,7,,,15925,-88.59532141,10,15759,23.46665382,14,0,0,0,0,0,0,1,6.269688283,0,0,,,9271,18.56823808,9270,9272,4,1,7,,,24862,8.716061332,24858,24863,7,-1,8,,,,,,,,,
,,2432,P,,2432,2.138713714,2432,2432,2,,7,,,15935,-10.08841645,6,0,0,0,0,0,0,0,0,0,28,423.0837334,0,0,,,9275,9.976906245,9274,9281,9,1,7,,,27789,3.100527661,27789,27790,3,,8,,,,,,,,,
,,2434,P,,2434,0.784224384,2434,2434,2,,7,,,16223,-97.40130032,10,16064,55.50528717,15,0,0,0,0,0,0,0,0,0,0,,,9301,14.33738393,9296,9310,16,1,7,,,33824,12.4192827,33822,33831,11,-1,8,,,,,,,,,
,,2443,P,,2443,30.78787537,2437,2462,27,-1,7,,,16519,-26.90051869,8,16368,58.3654213,20,0,0,0,0,0,0,1,20.12677262,0,0,,,10978,16.58891745,10976,10985,11,-1,7,,,33858,10.82687124,33854,33861,9,1,8,,,,,,,,,
,,2474,P,,2474,12.9628884,2471,2476,7,-1,7,,,16527,-11.29061094,7,0,0,0,0,0,0,0,0,0,29,443.210506,0,0,,,11540,2.56392762,11539,11541,4,1,7,,,34029,5.264559276,34028,34031,5,1,8,,,,,,,,,
,,2599,R,,2599,191.6274667,2595,2602,9,-1,3,,,17043,-63.64552815,15,16886,99.53131104,35,0,0,0,16868,-16.62124634,9,1,17.99831378,0,0,,,11553,13.98123614,11552,11554,4,-1,7,,,34883,2.956539698,34883,34884,3,,8,,,,,,,,,
