WT serotonin control 7.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,16,P,,16,1.143401863,16,16,2,,7,,,98262,-1482.128067,15,0,0,0,98273,-40.05618668,8,0,0,0,4,24.45950214,0,0,,,16,1.143401863,16,16,2,,7,,,18,5.769983992,17,21,6,-1,8,,,,unclassified,,0.5,0.5,0.5,1
,,18,i,,18,5.769983992,17,21,6,-1,8,,,98580,-1399.154627,12,98415,283.688324,26,98590,-28.45581055,6,98401,-22.30841064,5,0,0,0,0,,,175,8.070033191,174,180,8,-1,7,,,28,7.36181568,27,31,6,1,8,,,,pump,,0,0,1,2
,,28,i,,28,7.36181568,27,31,6,1,8,,,98902,-1412.155232,13,98734,235.5943298,20,0,0,0,98725,-11.34065247,5,0,0,0,0,,,232,2.061296793,232,233,3,,7,,,37,5.995490926,34,38,6,1,8,,,,R,R,0,1,0,3
,,37,i,,37,5.995490926,34,38,6,1,8,,,98911,17.99676763,7,0,0,0,98918,14.56687832,4,0,0,0,4,24.45950214,0,0,,,300,4.25257942,299,301,4,1,7,,,90,1.888715609,90,91,3,,8,,,,E,E,1,0,0,4
,,90,i,,90,1.888715609,90,91,3,,8,,,99221,-1428.603235,15,99057,219.0513458,18,99238,-42.57048798,8,99048,-15.40244961,6,0,0,0,0,,,368,9.330278989,366,372,8,-1,7,,,143,8.014295942,142,147,7,-1,8,,,,r2,r,1,1,0,5
,,143,i,,143,8.014295942,142,147,7,-1,8,,,99545,-1317.411442,13,99383,227.5343475,18,99556,-35.04550171,7,99373,-4.042845726,5,0,0,0,0,,,375,2.806610539,374,376,4,1,7,,,195,7.003661326,192,196,6,1,8,,,,e1,e,1,0,1,6
,,175,P,,175,8.070033191,174,180,8,-1,7,,,99841,-1342.333214,13,99685,223.0503693,25,99852,13.83985996,7,0,0,0,1,45.57118305,0,0,,,540,1.530516385,540,541,3,,7,,,307,10.22142692,302,309,9,1,8,,,,IPSP,P,0,1,1,7
,,195,i,,195,7.003661326,192,196,6,1,8,,,100152,-1341.766346,14,99998,219.3692169,19,0,0,0,99980,35.97980499,23,0,0,0,0,,,99519,2.658144849,99519,99520,3,,7,,,378,1.46174228,378,378,2,,8,,,,EPSP,i,1,0.8,0,8
,,232,P,,232,2.061296793,232,233,3,,7,,,100469,-1301.87499,14,100310,279.3518066,22,100483,5.854606628,8,0,0,0,0,0,0,0,,,99813,45.57118305,99810,99816,8,-1,7,,,381,3.016344073,381,382,3,,8,,,,,,,,,
,,300,P,,300,4.25257942,299,301,4,1,7,,,100782,-1321.70158,10,100626,263.12854,18,100789,-25.01808167,5,0,0,0,0,0,0,0,,,103867,14.41586861,103862,103870,10,-1,7,,,385,0.91789493,385,385,2,,8,,,,,,,,,
