WT serotonin control 4.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,28,i,,28,23.28852773,21,39,20,-1,8,,,1149,-75.46863124,7,1143,-4.677039623,5,0,0,0,956,5.191507339,5,0,0,0,0,,,962,3.63093858,961,963,4,1,7,,,28,23.28852773,21,39,20,-1,8,,,,unclassified,,0.5,0.5,0.5,1
,,149,i,,149,23.17012856,137,153,18,-1,8,,,1291,60.46112728,7,1229,5.411363602,4,0,0,0,0,0,0,4,101.9221209,0,0,,,1010,4.165691356,1009,1012,5,1,7,,,149,23.17012856,137,153,18,-1,8,,,,pump,,0,0,1,2
,,158,i,,158,6.091041927,156,159,5,1,8,,,1313,-301.4164484,8,0,0,0,3006,-6.069234371,5,0,0,0,11,218.7881833,0,0,,,1083,8.222227417,1082,1086,6,1,7,,,158,6.091041927,156,159,5,1,8,,,,R,R,0,1,0,3
,,171,i,,171,22.34530028,161,177,18,1,8,,,3011,-51.64415565,5,2996,4.154759407,4,0,0,0,0,0,0,0,0,25,667.7733518,,,1126,27.55731902,1115,1128,15,-1,7,,,171,22.34530028,161,177,18,1,8,,,,E,E,1,0,0,4
,,209,i,,209,46.47419205,205,238,35,-1,8,,,3151,-399.4851776,13,0,0,0,3165,-5.225803852,5,0,0,0,18,341.360814,0,0,,,1136,15.68991642,1131,1141,12,-1,7,,,209,46.47419205,205,238,35,-1,8,,,,r2,r,1,1,0,5
,,319,i,,319,6.925128903,317,320,5,-1,8,,,3765,-31.24137506,4,0,0,0,3873,3.459451199,4,0,0,0,19,356.3197922,0,0,,,1189,7.149621331,1187,1191,6,-1,7,,,319,6.925128903,317,320,5,-1,8,,,,e1,e,1,0,1,6
,,329,e,,329,1.365691564,329,329,2,,6,,,3881,,4,3769,46.15274811,6,0,0,0,0,0,0,3,88.05725844,0,0,,,1193,1.365691564,1193,1193,2,,7,,,336,24.80698433,330,347,19,1,8,,,,IPSP,P,0,1,1,7
,,336,i,,336,24.80698433,330,347,19,1,8,,,4087,-893.6004292,27,0,0,0,0,0,0,0,0,0,25,460.470729,0,0,,,1208,50.45034829,1202,1227,27,-1,7,,,354,7.386598608,351,356,7,1,8,,,,EPSP,i,1,0.8,0,8
,,354,i,,354,7.386598608,351,356,7,1,8,,,5594,-65.94017473,5,5588,11.07835293,9,0,0,0,5582,-10.72597218,8,0,0,5,102.5270196,,,1237,40.19512366,1231,1252,23,-1,7,,,524,1.764793193,524,524,2,,8,,,,,,,,,
,,524,i,,524,1.764793193,524,524,2,,8,,,5924,-821.3656065,17,5598,11.83505058,5,5935,-35.76398849,22,0,0,0,3,84.97515858,0,0,,,1256,20.44954728,1255,1257,4,-1,7,,,526,0.979062798,526,526,2,,8,,,,,,,,,
,,526,i,,526,0.979062798,526,526,2,,8,,,6998,-69.07629287,5,6992,11.92212582,7,7129,-12.3084116,11,0,0,0,0,0,2,39.10474127,,,1261,28.03832066,1259,1266,9,-1,7,,,530,3.948971557,530,532,4,,8,,,,,,,,,
,,530,i,,530,3.948971557,530,532,4,,8,,,7336,-843.0907527,19,7001,7.698376656,5,0,0,0,0,0,0,6,139.2512866,0,0,,,1280,13.23912931,1273,1283,12,1,7,,,557,21.71081635,548,565,19,1,8,,,,,,,,,
,,557,i,,557,21.71081635,548,565,19,1,8,,,8661,-1021.530132,12,8300,82.72071075,27,8669,-16.39470863,9,8281,22.58856201,18,3,51.8030604,7,111.4553351,,,3052,52.34521799,3048,3062,16,-1,7,,,632,2.048548895,632,633,3,,8,,,,,,,,,
,,632,i,,632,2.048548895,632,633,3,,8,,,9621,-1023.151477,18,9313,90.43011475,23,9630,-22.83342361,11,9290,17.39234543,16,2,45.29320215,3,30.4724468,,,3074,6.112868019,3072,3075,5,1,7,,,638,3.588845078,638,639,3,,8,,,,,,,,,
,,638,i,,638,3.588845078,638,639,3,,8,,,10497,,4,10373,86.15715027,19,0,0,0,10360,-19.44887352,10,5,97.42397613,0,0,,,3084,6.652283987,3083,3085,4,-1,7,,,731,39.89066558,720,745,27,-1,8,,,,,,,,,
,,731,i,,731,39.89066558,720,745,27,-1,8,,,10720,-763.9562458,14,0,0,0,10730,-14.14648151,9,0,0,0,45,889.3821461,0,0,,,3108,7.19328137,3106,3111,7,1,7,,,794,45.26272315,785,817,34,-1,8,,,,,,,,,
,,794,i,,794,45.26272315,785,817,34,-1,8,,,12125,-984.7513402,13,11781,-83.79631805,20,12132,-16.09999466,8,11764,8.371881485,5,3,63.61257572,3,28.01237672,,,3116,3.676150229,3115,3117,4,-1,7,,,865,44.20595734,841,871,32,-1,8,,,,,,,,,
,,865,i,,865,44.20595734,841,871,32,-1,8,,,13304,-887.6207142,13,12979,84.24971008,22,13310,-17.85702896,8,12966,20.9406147,14,3,61.38699997,0,0,,,3122,4.655213027,3120,3123,5,1,7,,,880,4.826701669,879,882,5,-1,8,,,,,,,,,
,,880,i,,880,4.826701669,879,882,5,-1,8,,,14259,-946.2637522,11,13944,64.61908722,19,14267,-21.84925842,8,13927,3.813342094,4,2,17.07114419,2,9.310423642,,,3136,41.93761601,3128,3142,16,-1,7,,,885,3.358113754,884,886,4,1,8,,,,,,,,,
,,885,i,,885,3.358113754,884,886,4,1,8,,,14973,-904.1482457,17,14706,42.51344299,10,14986,10.94306564,6,0,0,0,1,15.1535985,0,0,,,3756,14.95897825,3754,3761,9,1,7,,,972,18.34953624,964,976,14,1,8,,,,,,,,,
,,956,e,,956,5.19150735,955,958,5,1,6,,,15733,-899.5457514,19,15549,-15.14676189,5,15742,-21.79821587,10,0,0,0,1,11.64118499,1,9.435147502,,,3803,70.05216529,3800,3808,10,-1,7,,,1013,2.003337245,1013,1014,3,,8,,,,,,,,,
,,962,P,,962,3.63093858,961,963,4,1,7,,,16525,-831.550978,9,16255,118.3978424,18,16531,-15.0780468,5,16245,20.80362511,11,2,10.81487629,0,0,,,3837,5.151023447,3837,3838,3,,7,,,1020,8.481027205,1016,1022,8,1,8,,,,,,,,,
,,972,i,,972,18.34953624,964,976,14,1,8,,,17263,-841.5833117,15,16999,-5.305312157,5,17269,-10.95991993,6,0,0,0,3,63.11166868,1,5.735611767,,,3842,1.10378288,3842,3842,2,,7,,,1087,1.217588428,1087,1087,2,,8,,,,,,,,,
,,977,E,,977,1.217588428,977,977,2,,4,,,17913,-909.9700806,13,17673,102.263176,22,17922,3.952088833,4,17648,4.064352989,5,2,24.53885246,1,7.472362207,,,3852,8.98146152,3851,3857,8,1,7,,,1540,21.21032094,1531,1545,16,1,8,,,,,,,,,
,,1010,P,,1010,4.165691356,1009,1012,5,1,7,,,18600,-855.8271992,11,18358,103.2452469,25,18608,-22.94887543,11,18337,18.77360535,15,2,27.61208903,4,39.87483922,,,3869,9.023631632,3868,3871,5,1,7,,,1571,49.30840192,1560,1595,37,1,8,,,,,,,,,
,,1013,i,,1013,2.003337245,1013,1014,3,,8,,,18905,4.337164634,4,0,0,0,0,0,0,0,0,0,67,1206.523903,0,0,,,3914,8.206624752,3910,3915,7,1,7,,,1661,37.28066313,1648,1676,30,-1,8,,,,,,,,,
,,1015,e,,1015,0.979062798,1015,1015,2,,6,,,19142,-782.7675777,18,18924,27.21660995,9,19148,11.40420437,6,0,0,0,3,29.09890947,0,0,,,3947,3.266137323,3946,3948,4,1,7,,,1699,5.328706015,1697,1700,5,-1,8,,,,,,,,,
,,1020,i,,1020,8.481027205,1016,1022,8,1,8,,,19667,-816.7748457,12,19457,-4.530474663,4,19674,-9.025240898,5,0,0,0,1,12.19458689,1,4.154776301,,,3951,4.620916244,3950,3953,5,1,7,,,1709,7.704651897,1705,1711,8,-1,8,,,,,,,,,
,,1083,P,,1083,8.222227417,1082,1086,6,1,7,,,20082,-676.9593474,10,19870,-80.8447113,20,20088,-19.35387802,9,19853,18.31683922,16,4,50.42010942,0,0,,,5632,33.32319662,5628,5638,12,-1,7,,,1737,15.71016647,1731,1742,13,1,8,,,,,,,,,
