WT serotonin control 6.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,3,i,,3,5.709577677,2,6,6,1,8,,,1499,3.004860782,4,1485,3.117003679,4,0,0,0,689,4.079684734,4,0,0,0,0,,,678,11.0126293,675,681,8,1,7,,,3,5.709577677,2,6,6,1,8,,,,unclassified,,0.5,0.5,0.5,1
,,98,i,,98,9.129033739,96,100,6,-1,8,,,11062,-26.10421811,6,10979,24.87278366,18,11560,3.117003679,4,10961,8.52121067,9,0,0,163,2117.939626,,,683,1.838628064,683,684,3,,7,,,98,9.129033739,96,100,6,-1,8,,,,pump,,0,0,1,2
,,118,i,,118,40.30431065,104,139,37,-1,8,,,27137,6.006818868,4,26358,7.308845043,7,27149,4.997191906,4,26328,21.50161552,16,7,55.93802317,138,1417.555532,,,1009,3.73332492,1008,1011,5,-1,7,,,118,40.30431065,104,139,37,-1,8,,,,R,R,0,1,0,3
,,141,i,,141,1.089893323,141,141,2,,8,,,27921,-930.2517879,16,27750,143.9042206,11,27951,-3.000123024,4,27744,7.000102043,5,2,10.91095869,0,0,,,1095,9.841836739,1092,1097,7,1,7,,,141,1.089893323,141,141,2,,8,,,,E,E,1,0,0,4
,,198,i,,198,11.12322716,194,203,11,-1,8,,,29839,12.0113349,4,29823,-5.730894566,4,0,0,0,0,0,0,0,0,7,82.74594701,,,1099,0.881144335,1099,1099,2,,7,,,198,11.12322716,194,203,11,-1,8,,,,r2,r,1,1,0,5
,,226,i,,226,6.555405656,223,227,6,1,8,,,29914,-3.636714921,5,0,0,0,29961,63.36845398,4,0,0,0,41,367.0234021,0,0,,,1349,5.200180253,1346,1350,6,-1,7,,,226,6.555405656,223,227,6,1,8,,,,e1,e,1,0,1,6
,,257,i,,257,1.089893323,257,257,2,,8,,,31846,-1466.463365,13,31721,-14.03299332,11,31861,-33.95807266,13,0,0,0,2,49.58380006,0,0,,,1560,3.040664212,1560,1562,4,,7,,,257,1.089893323,257,257,2,,8,,,,IPSP,P,0,1,1,7
,,275,i,,275,6.575165795,272,277,7,1,8,,,33392,3.656985525,5,33335,223.6429291,25,33417,12.65634441,6,33310,31.92284203,25,1,52.6388856,2,10.60438525,,,1827,2.179786645,1827,1828,3,,7,,,275,6.575165795,272,277,7,1,8,,,,EPSP,i,1,0.8,0,8
,,283,i,,283,6.050728421,280,284,6,-1,8,,,33683,-1629.963231,11,33454,16.92578316,6,33689,-3.922315121,4,33446,3.774339676,4,4,64.25466181,0,0,,,1934,0.95748373,1934,1934,2,,7,,,283,6.050728421,280,284,6,-1,8,,,,,,,,,
,,322,e,,322,5.485272472,320,324,6,-1,6,,,34386,-9.220145788,7,34223,13.24378395,10,0,0,0,0,0,0,2,26.182455,0,0,,,2011,2.047377052,2011,2012,3,,7,,,342,17.89990702,335,346,13,1,8,,,,,,,,,
,,342,i,,342,17.89990702,335,346,13,1,8,,,34392,3.662200625,4,0,0,0,0,0,0,0,0,0,52,598.9671013,0,0,,,2063,12.07401864,2060,2066,8,1,7,,,454,6.483776755,453,457,6,1,8,,,,,,,,,
,,454,i,,454,6.483776755,453,457,6,1,8,,,34794,5.903257465,5,34434,21.39007568,7,0,0,0,34415,8.409062386,9,1,20.89097004,0,0,,,2073,1.52293382,2073,2073,2,,7,,,487,1.278375542,487,487,2,,8,,,,,,,,,
,,487,i,,487,1.278375542,487,487,2,,8,,,36479,-1531.055726,20,36096,186.89888,21,0,0,0,36075,26.88680267,19,4,69.6250875,0,0,,,2216,3.865734513,2214,2217,5,-1,7,,,553,3.891202685,552,554,4,1,8,,,,,,,,,
,,553,i,,553,3.891202685,552,554,4,1,8,,,37107,-2.719772399,4,37010,5.205940723,4,0,0,0,0,0,0,1,25.44808548,1,5.612967678,,,2660,24.68889789,2654,2670,18,1,7,,,561,2.480417549,561,562,3,,8,,,,,,,,,
,,561,i,,561,2.480417549,561,562,3,,8,,,37115,-5.843085767,4,0,0,0,37254,11.65903187,11,0,0,0,58,714.9312444,0,0,,,2724,1.52293382,2724,2724,2,,7,,,614,37.83694496,606,633,29,-1,8,,,,,,,,,
,,614,i,,614,37.83694496,606,633,29,-1,8,,,37513,-1520.78203,17,37463,-22.73766518,20,0,0,0,37457,11.28942776,6,0,0,0,0,,,2731,7.68687671,2729,2732,5,-1,7,,,686,4.528289455,685,687,4,-1,8,,,,,,,,,
,,678,P,,678,11.0126293,675,681,8,1,7,,,39195,4.675754552,5,39088,197.2085724,22,0,0,0,39069,31.45258522,27,2,16.19308692,0,0,,,4244,4.360083756,4243,4245,4,1,7,,,714,10.09973789,710,719,11,-1,8,,,,,,,,,
,,683,P,,683,1.838628064,683,684,3,,7,,,39203,-14.69319401,4,0,0,0,0,0,0,0,0,0,64,766.0141277,0,0,,,4250,6.045524994,4247,4252,7,-1,7,,,784,21.04160769,776,793,19,-1,8,,,,,,,,,
,,686,i,,686,4.528289455,685,687,4,-1,8,,,39468,-1530.593657,17,0,0,0,39477,28.45645332,7,0,0,0,65,788.1212109,0,0,,,4661,0.881144335,4661,4661,2,,7,,,824,13.0287366,816,827,13,1,8,,,,,,,,,
