WT 05 H2O2 2.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,166,i,,166,7.362815744,162,171,11,-1,8,,,664,-123.3711464,7,614,99.91609192,51,0,0,0,0,0,0,0,0,0,0,,,1766,37.41170856,1764,1773,11,-1,7,,,166,7.362815744,162,171,11,-1,8,,,,unclassified,,0.5,0.5,0.5,1
,,614,E,,614,99.91608918,600,649,51,1,4,,,1889,-244.5050478,17,1729,56.33781433,16,0,0,0,1716,12.02968025,15,3,70.13338228,2,13.17012869,,,1812,17.6771586,1806,1817,13,-1,7,,,1429,2.578035766,1428,1430,4,-1,8,,,,pump,,0,0,1,2
,,664,R,,664,123.3711464,662,667,7,-1,3,,,4090,-125.4076123,8,4024,44.96128464,20,4104,-21.87155533,14,0,0,0,1,68.06724475,1,7.397031611,,,1844,15.04451511,1839,1850,13,-1,7,,,1432,1.279169722,1432,1433,3,,8,,,,R,R,0,1,0,3
,,1429,i,,1429,2.578035766,1428,1430,4,-1,8,,,5287,-106.8692028,9,5233,40.01641464,16,5306,-29.28995705,13,5225,-20.41763496,8,1,74.66968408,0,0,,,4061,68.06724475,4058,4066,10,-1,7,,,1638,10.59209293,1634,1644,12,-1,8,,,,E,E,1,0,0,4
,,1432,i,,1432,1.279169722,1432,1433,3,,8,,,6283,-125.6349423,11,6245,,4,6357,-23.4808197,8,0,0,0,0,0,0,0,,,4093,3.753602893,4093,4093,2,,7,,,3139,7.397031611,3138,3145,9,1,8,,,,r2,r,1,1,0,5
,,1638,i,,1638,10.59209293,1634,1644,12,-1,8,,,7804,-211.2586456,13,7705,49.48477554,22,7871,-31.18039703,16,7693,-8.540699005,9,2,56.45898662,1,4.295573213,,,5268,74.66968408,5266,5278,14,-1,7,,,6546,0.683797932,6546,6546,2,,8,,,,e1,e,1,0,1,6
,,1716,e,,1716,12.02968051,1710,1723,15,1,6,,,9614,-223.1296876,13,9486,48.92632294,16,0,0,0,9474,11.46639919,12,4,61.09350454,0,0,,,5280,0.683797932,5280,5280,2,,7,,,6551,4.295573213,6549,6553,6,1,8,,,,IPSP,P,0,1,1,7
,,1729,E,,1729,56.33781477,1724,1738,16,1,4,,,10052,-133.4822934,10,10003,41.04491043,18,0,0,0,9989,10.57381058,13,1,44.16688678,0,0,,,5290,7.578102419,5289,5291,4,1,7,,,7169,0.595371791,7169,7169,2,,8,,,,EPSP,i,1,0.8,0,8
,,1766,P,,1766,37.41170856,1764,1773,11,-1,7,,,12205,-205.9801184,12,12070,46.83073807,15,0,0,0,12063,9.134264946,10,3,90.55465094,7,29.57541244,,,7743,37.28278077,7739,7749,12,-1,7,,,9371,0.595371791,9371,9371,2,,8,,,,,,,,,
,,1812,P,,1812,17.6771586,1806,1817,13,-1,7,,,13747,-114.6075243,9,13697,44.06669617,15,13823,-32.4116478,10,13686,-10.43328285,11,1,30.5667778,0,0,,,7780,19.17620585,7777,7788,13,-1,7,,,10150,2.92797735,10149,10151,4,1,8,,,,,,,,,
,,1844,P,,1844,15.04451511,1839,1850,13,-1,7,,,14666,-269.6564884,14,14507,42.46214294,21,0,0,0,14497,7.223550797,9,4,59.80569076,0,0,,,9520,39.52275396,9518,9527,11,-1,7,,,10155,2.664656364,10154,10156,4,-1,8,,,,,,,,,
,,1889,R,,1889,244.5050478,1879,1894,17,-1,3,,,15045,-143.2487316,12,14995,41.64531326,14,0,0,0,14984,10.00762367,15,1,41.65402043,0,0,,,9550,3.593884503,9547,9551,6,-1,7,,,10243,4.100830152,10241,10246,7,-1,8,,,,,,,,,
,,3139,i,,3139,7.397031611,3138,3145,9,1,8,,,15584,-257.9918065,9,15446,47.02115631,17,15588,7.666136742,4,15437,9.011471748,12,3,58.2107993,0,0,,,9561,11.9454729,9558,9566,10,-1,7,,,10253,5.015544448,10251,10254,5,1,8,,,,,,,,,
,,4024,E,,4024,44.96128472,4019,4037,20,1,4,,,15591,-2.753082505,4,0,0,0,18622,5.59443903,7,0,0,0,25,662.9597307,0,0,,,9579,6.031393185,9577,9582,7,1,7,,,10339,5.856346446,10337,10342,7,-1,8,,,,,,,,,
,,4061,P,,4061,68.06724475,4058,4066,10,-1,7,,,24035,-211.5935796,13,23863,81.06912231,34,0,0,0,0,0,0,3,97.24646353,3,10.41382685,,,9600,2.578035766,9600,9602,4,,7,,,10385,3.962108611,10384,10387,5,1,8,,,,,,,,,
