WT 05 H2O2 8.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,1032,i,,1032,0.764012933,1032,1032,2,,8,,,2111,-1189.805648,7,1950,448.2652588,46,0,0,0,1918,36.54494858,26,3,365.5146445,0,0,,,2042,236.3315689,1981,2052,73,-1,7,,,1032,0.764012933,1032,1032,2,,8,,,,unclassified,,0.5,0.5,0.5,1
,,1918,e,,1918,36.54495014,1909,1933,26,1,6,,,3093,-1697.128381,17,2730,343.8721008,55,0,0,0,2604,49.65289307,24,3,133.8483757,0,0,,,2065,51.57986085,2057,2076,21,-1,7,,,6984,9.739502725,6978,6988,12,-1,8,,,,pump,,0,0,1,2
,,1950,E,,1950,448.2652704,1934,1978,46,1,4,,,3813,-1354.606015,19,3540,437.0650635,30,3824,35.9339447,6,0,0,0,3,30.01432179,0,0,,,2080,0.962465335,2080,2081,3,,7,,,7146,1.160917737,7145,7147,4,-1,8,,,,R,R,0,1,0,3
,,2042,P,,2042,236.3315689,1981,2052,73,-1,7,,,4419,-1577.56806,15,4164,399.9289246,64,0,0,0,0,0,0,2,22.22375941,0,0,,,2094,77.6032148,2084,2107,25,-1,7,,,7691,4.956972724,7690,7693,5,1,8,,,,E,E,1,0,0,4
,,2065,P,,2065,51.57986085,2057,2076,21,-1,7,,,4435,23.05712662,7,0,0,0,4440,28.09539604,5,0,0,0,11,551.6011014,0,0,,,2815,24.67753608,2805,2825,22,-1,7,,,7699,3.849861341,7697,7704,9,-1,8,,,,r2,r,1,1,0,5
,,2080,P,,2080,0.962465335,2080,2081,3,,7,,,5252,-1311.818418,18,4994,474.0895386,22,0,0,0,4981,-31.35266685,14,0,0,0,0,,,2840,14.41655895,2836,2849,15,-1,7,,,8325,0.764012933,8325,8325,2,,8,,,,e1,e,1,0,1,6
,,2094,P,,2094,77.6032148,2084,2107,25,-1,7,,,5268,3.484547513,4,0,0,0,5273,-40.26539993,8,0,0,0,11,551.6011014,0,0,,,2854,0.962465335,2854,2855,3,,7,,,8333,0.962465335,8333,8334,3,,8,,,,IPSP,P,0,1,1,7
,,2111,R,,2111,1189.805648,2109,2114,7,-1,3,,,6091,-1296.940561,12,5832,289.4433899,16,6106,-36.0370903,11,0,0,0,3,34.08331596,0,0,,,2999,94.75428071,2969,3071,104,-1,7,,,11612,7.334408854,11608,11618,12,1,8,,,,EPSP,i,1,0.8,0,8
,,2604,e,,2604,49.6528927,2597,2619,24,1,6,,,6653,-1552.978598,14,6417,356.1730957,15,0,0,0,0,0,0,0,0,0,0,,,3602,1.956521647,3602,3602,2,,7,,,11650,11.35292592,11647,11663,18,1,8,,,,,,,,,
,,2730,E,,2730,343.8721117,2716,2769,55,1,4,,,6667,,4,0,0,0,6673,-39.42626953,8,0,0,0,14,585.6844174,0,0,,,3617,1.359370139,3615,3618,5,1,7,,,12675,0.962465335,12675,12676,3,,8,,,,,,,,,
,,2815,P,,2815,24.67753608,2805,2825,22,-1,7,,,7469,-1205.170619,13,7226,323.1243286,16,7485,-39.10346222,12,7216,6.403534412,7,3,34.50801317,2,10.90042046,,,3784,18.33718354,3782,3790,10,-1,7,,,12690,0.793809608,12689,12692,5,-1,8,,,,,,,,,
,,2840,P,,2840,14.41655895,2836,2849,15,-1,7,,,8055,-1400.996545,14,7834,363.6640015,12,8074,-31.98772621,9,0,0,0,1,23.61078729,2,8.806834064,,,3793,0.198452402,3793,3793,2,,7,,,16520,3.452956537,16518,16523,7,-1,8,,,,,,,,,
,,2854,P,,2854,0.962465335,2854,2855,3,,7,,,8599,-1281.977763,16,8390,372.2197876,25,8616,-39.99576187,12,8369,1.726478219,4,2,12.80706899,0,0,,,3796,10.3177681,3795,3801,8,1,7,,,23849,0.396904804,23849,23850,3,,8,,,,,,,,,
,,2999,P,,2999,94.75428071,2969,3071,104,-1,7,,,9309,-1571.746535,12,9300,2.918987036,4,9323,-54.94096375,9,0,0,0,0,0,0,0,,,4223,1.956521647,4223,4223,2,,7,,,23942,8.296874189,23937,23949,14,-1,8,,,,,,,,,
,,3093,R,,3093,1697.128381,3088,3103,17,-1,3,,,9867,-1636.252359,12,9656,696.5234985,59,9881,-47.56898499,13,0,0,0,0,0,0,0,,,4395,19.30477243,4390,4403,15,-1,7,,,25139,8.663982318,25136,25147,13,-1,8,,,,,,,,,
,,3540,E,,3540,437.0650671,3526,3554,30,1,4,,,10383,-1399.256433,17,10190,305.4433289,36,10402,-40.03159714,13,0,0,0,1,17.79169946,0,0,,,4406,19.83962261,4406,4407,3,,7,,,25196,3.879658015,25193,25203,12,1,8,,,,,,,,,
,,3602,P,,3602,1.956521647,3602,3602,2,,7,,,10856,-1278.137261,15,10667,370.0750427,66,10870,-40.90716171,11,10632,-2.490491152,5,1,21.7148483,0,0,,,4411,2.918986982,4410,4412,4,1,7,,,25294,0.962465335,25294,25295,3,,8,,,,,,,,,
,,3617,P,,3617,1.359370139,3615,3618,5,1,7,,,11288,-1108.270662,15,11102,393.8373718,16,11301,-32.32643127,14,0,0,0,1,3.484547513,0,0,,,5879,10.00113708,5877,5882,7,-1,7,,,25298,0.962465335,25298,25299,3,,8,,,,,,,,,
,,3784,P,,3784,18.33718354,3782,3790,10,-1,7,,,11943,-1244.236876,17,11750,418.4185486,25,11961,-32.12797928,13,11733,28.98049736,17,1,16.20621917,2,18.68733478,,,5906,7.931560361,5904,5911,9,-1,7,,,26060,3.115645082,26054,26063,11,-1,8,,,,,,,,,
,,3793,P,,3793,0.198452402,3793,3793,2,,7,,,12385,-1314.450773,13,12204,503.6455078,35,12396,-36.59148788,10,0,0,0,0,0,0,0,,,6070,16.15061852,6065,6074,11,1,7,,,34761,14.44056863,34747,34764,19,1,8,,,,,,,,,
,,3794,R,,3794,0.764012933,3794,3794,2,,3,,,12994,-1152.593128,14,12807,458.4315796,45,13006,-34.25077057,13,12683,-1.924930692,5,0,0,1,0.793809608,,,6458,3.796054987,6458,6458,2,,7,,,35414,1.726478268,35413,35415,4,-1,8,,,,,,,,,
,,3796,P,,3796,10.3177681,3795,3801,8,1,7,,,13541,-1243.994656,11,13353,377.8888245,32,13552,12.81584072,5,0,0,0,0,0,0,0,,,6614,0.962465335,6614,6615,3,,7,,,35419,0.764012933,35419,35419,2,,8,,,,,,,,,
,,3813,R,,3813,1354.606015,3802,3819,19,-1,3,,,13877,-3.514344187,7,0,0,0,0,0,0,0,0,0,32,830.5750175,0,0,,,7063,1.160917737,7062,7064,4,1,7,,,35858,0.764012933,35858,35858,2,,8,,,,,,,,,
,,3820,r,,3820,3.796054987,3820,3820,2,,5,,,14097,-1189.827947,15,13914,210.2171173,56,14117,-36.98141098,13,13883,-4.645465374,7,0,0,0,0,,,7140,5.919438059,7139,7144,7,1,7,,,36365,11.21586117,36360,36375,17,1,8,,,,,,,,,
