WT serotonin control 2.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
1000,,21,i,,21,4.045055189,20,22,4,1,8,,,2073,-31.06317543,5,1954,3.139592409,4,0,0,0,0,0,0,1,14.63812542,0,0,,,1950,2.249580934,1950,1950,2,,7,,,21,4.045055189,20,22,4,1,8,,,,unclassified,,0.5,0.5,0.5,1
,,31,i,,31,31.17057747,24,46,24,1,8,,,2201,-165.8209006,15,2076,10.79443645,8,0,0,0,0,0,0,2,228.9539035,0,0,,,2065,14.63812542,2059,2067,10,1,7,,,31,31.17057747,24,46,24,1,8,,,,pump,,0,0,1,2
,,59,i,,59,12.93244556,56,66,12,-1,8,,,2370,-5.018475862,6,2364,-7.592530251,5,0,0,0,2348,28.27308655,14,0,0,0,0,,,2125,125.1507786,2104,2128,26,1,7,,,59,12.93244556,56,66,12,-1,8,,,,R,R,0,1,0,3
,,95,i,,95,4.817642421,93,97,6,1,8,,,2484,29.45726956,6,2439,3.599979639,4,0,0,0,0,0,0,1,83.21363141,0,0,,,2159,103.8031249,2131,2165,36,-1,7,,,95,4.817642421,93,97,6,1,8,,,,E,E,1,0,0,4
,,129,i,,129,23.29658605,119,135,18,-1,8,,,2502,-191.7513259,11,0,0,0,2510,13.24493504,9,0,0,0,9,386.4678333,0,0,,,2386,14.23119694,2385,2390,7,-1,7,,,129,23.29658605,119,135,18,-1,8,,,,r2,r,1,1,0,5
,,234,i,,234,29.61947067,224,247,25,1,8,,,3266,-8.217282694,4,3261,23.77612114,4,0,0,0,0,0,0,0,0,1,7.78713614,,,2404,9.746686329,2399,2408,11,1,7,,,234,29.61947067,224,247,25,1,8,,,,e1,e,1,0,1,6
,,283,i,,283,20.39807288,273,287,16,1,8,,,3316,57.35843263,5,3286,6.557443142,4,0,0,0,0,0,0,2,66.63694686,0,0,,,2418,6.668617432,2416,2420,6,-1,7,,,283,20.39807288,273,287,16,1,8,,,,IPSP,P,0,1,1,7
,,301,i,,301,2.663855751,300,302,4,-1,8,,,3335,-283.0844853,13,0,0,0,0,0,0,0,0,0,19,533.2273765,0,0,,,2432,7.91718497,2430,2437,9,1,7,,,301,2.663855751,300,302,4,-1,8,,,,EPSP,i,1,0.8,0,8
,,340,i,,340,18.74507381,333,346,15,-1,8,,,4071,-351.6404597,15,3975,51.98336029,24,4160,-11.79501438,8,3950,9.885248184,8,5,127.1598542,1,19.03836419,,,2445,83.21363141,2441,2479,40,-1,7,,,340,18.74507381,333,346,15,-1,8,,,,,,,,,
,,404,i,,404,11.89102224,400,408,10,-1,8,,,7156,-393.7288573,13,7008,41.77258301,7,7177,-28.04977036,15,6994,-10.76352024,13,4,66.91010828,24,295.6891531,,,2490,21.09848722,2486,2494,10,-1,7,,,404,11.89102224,400,408,10,-1,8,,,,,,,,,
,,432,i,,432,7.679080933,430,435,7,1,8,,,7566,-294.5113816,13,7512,-2.771953344,4,0,0,0,0,0,0,1,41.23204292,0,0,,,2817,0.868381495,2817,2817,2,,7,,,432,7.679080933,430,435,7,1,8,,,,,,,,,
,,438,i,,438,1.093903293,438,438,2,,8,,,8927,-404.3013428,10,8761,-3.266360283,4,0,0,0,0,0,0,5,46.77905054,2,13.97391837,,,2834,6.872546378,2832,2835,5,-1,7,,,438,1.093903293,438,438,2,,8,,,,,,,,,
,,442,i,,442,4.811311918,440,443,5,1,8,,,9416,-385.8626945,15,9294,-2.747260094,4,9496,-16.53615952,12,0,0,0,3,155.8111084,0,0,,,2848,3.640334745,2847,2850,5,-1,7,,,442,4.811311918,440,443,5,1,8,,,,,,,,,
,,481,i,,481,8.893659204,474,482,10,1,8,,,10007,-11.28595774,6,9888,47.07723999,22,0,0,0,9876,9.397118568,9,1,2.663855751,1,6.449323941,,,2863,9.255538108,2862,2864,4,-1,7,,,481,8.893659204,474,482,10,1,8,,,,,,,,,
,,526,i,,526,29.37472219,515,537,24,-1,8,,,10017,-374.6373794,13,0,0,0,10067,5.534358978,4,0,0,0,41,997.6878824,0,0,,,2882,2.639162634,2882,2884,4,,7,,,526,29.37472219,515,537,24,-1,8,,,,,,,,,
